Code;Preferred Term;Synonyms;Definition;Neoplastic Status;
C36060;Chronic Myelomonocytic Leukemia with Eosinophilia;CMML with Eosinophilia;A chronic myelomonocytic leukemia characterized by a peripheral blood eosinophil count of equal or greater than 1.5x10E9/L, and absence of PDGFRA or PDGFRB gene abnormalities.;Malignant;
C36061;Chronic Myelomonocytic Leukemia-1;;A chronic myelomonocytic leukemia characterized by the presence of less than 10 percent blasts in the bone marrow and less than 5 percent blasts in the peripheral blood.;Malignant;
C36062;Chronic Myelomonocytic Leukemia-2;;A chronic myelomonocytic leukemia characterized by the presence of 10-19 percent blasts in the bone marrow and 5-19 percent blasts in the peripheral blood or by the presence of Auer rods regardless of the blasts count.;Malignant;
C3179;Chronic Neutrophilic Leukemia;Neutrophilic Leukemia;A rare chronic myeloproliferative neoplasm characterized by neutrophilic leukocytosis.  There is no detectable Philadelphia chromosome or BCR/ABL fusion gene.;Malignant;
C3175;Chronic Phase Chronic Myeloid Leukemia, BCR-ABL1 Positive;Chronic Phase CML ;A phase of chronic myeloid leukemia, BCR-ABL1 positive in which the peripheral blood smear shows leukocytosis with neutrophils in different stages of maturation, less than 2% blasts, and normal or increased platelet count. Most patients have mild anemia. The bone marrow is hypercellular due to increased numbers of neutrophils and their precursors, and blasts usually account for fewer than 5% of the marrow cells. Megakaryocytes are smaller than normal and have hypolobated nuclei. The spleen is enlarged due to infiltration of the cords of the red pulp by granulocytes.;Malignant;
C66807;Ciliary Body Benign Medulloepithelioma;Benign Ciliary Body Medulloepithelioma ;A rare, unilateral, benign embryonal neoplasm typically presenting as a ciliary body mass during childhood. It arises from primitive medullary epithelium.;Benign;
C39814;Classic Congenital Mesoblastic Nephroma;Classic Mesoblastic Nephroma;A congenital mesoblastic nephroma characterized by the presence of interlacing fascicles of fibroblastic cells, low mitotic activity, and collagen formation.;Malignant;
C7164;Classic Hodgkin Lymphoma;Classical Hodgkin Lymphoma;A category of Hodgkin lymphomas that includes the following four histologic subtypes: lymphocyte-rich, nodular sclerosis, mixed cellularity, and lymphocyte-depleted classic Hodgkin lymphoma. The vast majority of Hodgkin lymphomas belong to this category.;Malignant;
C54039;Classic Medulloblastoma;;A medulloblastoma composed of malignant cells with hyperchromatic nucleus and scanty cytoplasm.  Homer Wright rosettes may be present.;Malignant;
C7188;Classical Burkitt Lymphoma;Classical Burkitt's Lymphoma;A Burkitt lymphoma characterized by the presence of a uniform malignant lymphocytic infiltrate that is composed of medium-sized cells with round nuclei and multiple basophilic nucleoli, abundant mitotic figures, and a starry-sky pattern due to the presence of multiple tangible body macrophages.;Malignant;
C111694;Classical Glioblastoma;;A molecular subtype of glioblastoma characterized by lack of p53 mutations, chromosome 7 amplifications or deletions, and high levels of EGFR amplification.;Malignant;
C3766;Clear Cell Adenocarcinoma;Clear Cell Carcinoma ;A malignant neoplasm composed of glandular epithelial clear cells.  Various architectural patterns may be seen, including papillary, tubulocystic, and solid.;Malignant;
C6475;Clear Cell Chondrosarcoma;;A rare, usually low grade chondrosarcoma characterized by the presence of tumor cells with clear cytoplasm. It usually arises in the epiphyseal ends of long bones.;Malignant;
C4714;Clear Cell Ependymoma;;An ependymoma, often supratentorial in location, characterized by the presence of ependymal cells with a perinuclear halo.;Undetermined;
C4722;Clear Cell Meningioma;;A WHO grade II morphologic variant of meningioma characterized by the presence of clear glycogen-rich polygonal cells.;Undetermined;
