Code;Preferred Term;Synonyms;Definition;Neoplastic Status;
C6287;Endometrial Endometrioid Adenocarcinoma;Endometrial Endometrioid Carcinoma ;A primary endometrial adenocarcinoma composed of neoplastic cells that form complex glandular patterns associated with budding and branching of the neoplastic glands.  The neoplastic glands resemble those of the normal endometrium and may or may not be associated with sheet-like proliferation of malignant cells.  Endometrioid adenocarcinoma is the most commonly seen morphologic variant of endometrial adenocarcinoma.;Malignant;
C40144;Endometrial Mucinous Adenocarcinoma;Uterine Corpus Mucinous Adenocarcinoma;A primary, usually low grade adenocarcinoma of the endometrium in which the majority of the malignant epithelial cells contain abundant intracytoplasmic mucin.;Malignant;
C27838;Endometrial Serous Adenocarcinoma;Uterine Corpus Serous Adenocarcinoma ;A high-grade, aggressive adenocarcinoma arising from the endometrium. It is characterized by the presence of complex papillary patterns with cellular budding. Atypical mitoses, necrosis, and psammoma bodies may be present. It is classified as type II endometrial carcinoma and it is not associated with endometrial hyperplasia. It tends to invade deeply into the myometrium and spreads into the lymphatic vessels. Patients frequently present with spread of the tumor beyond the uterus at the time of diagnosis. The prognosis is usually poor.;Malignant;
C40155;Endometrial Small Cell Neuroendocrine Carcinoma;Endometrial Small Cell Carcinoma;An aggressive high-grade carcinoma with neuroendocrine differentiation that arises from the endometrium. It is characterized by the presence of small malignant cells, necrotic changes, and an increased mitotic rate.;Malignant;
C8719;Endometrial Squamous Cell Carcinoma;Squamous Cell Carcinoma of Endometrium ;A primary carcinoma of the endometrium characterized by the presence of malignant squamous cells.;Malignant;
C8973;Endometrioid Stromal Sarcoma;Endometrial Stromal Sarcoma;A malignant mesenchymal neoplasm that affects the uterine corpus, and rarely, the ovaries, cervix, and vagina. In the uterine corpus it is classified as low grade or high grade endometrial stromal sarcoma. In the remainder of the anatomic sites it is classified as low grade endometrioid stromal sarcoma.;Malignant;
C4737;Enteropathy-Associated T-Cell Lymphoma;Enteropathy Associated T-Cell Lymphoma ;A mature T-cell and NK-cell non-Hodgkin lymphoma of intraepithelial T-lymphocytes. It usually arises from the small intestine, most commonly the jejunum or ileum.  Other less frequent primary anatomic sites include the duodenum, stomach, colon, or outside the gastrointestinal tract. It is characterized by the presence of pleomorphic medium-sized to large T-lymphocytes with vesicular nuclei, prominent nucleoli, and moderate to abundant pale cytoplasm. It is associated with celiac disease.;Malignant;
C3016;Eosinophilic Granuloma;Eosinophilic Xanthomatous Granuloma;A clinical variant of Langerhans cell histiocytosis characterized by unifocal involvement of a bone (most often), skin, or lung.  Patients are usually older children or adults usually presenting with a lytic bone lesion.  The etiology is unknown.  Morphologically, eosinophilic granuloma is characterized by the presence of Langerhans cells in a characteristic milieu which includes histiocytes, eosinophils, neutrophils, and small, mature lymphocytes.;Undetermined;
C6770;Ependymal Tumor;Ependymal Neoplasm;A group of neoplasms which arise from the ependymal lining of the cerebral ventricles and from the remnants of the central canal of the spinal cord.  Ependymal tumors occur predominantly in children and young adults with varied morphological features and biological behavior.  There are 4 types: ependymoma, anaplastic ependymoma, myxopapillary ependymoma and subependymoma. (WHO);Undetermined;
C3017;Ependymoma;WHO Grade 2 Ependymal Neoplasm ;A WHO grade 2, slow growing tumor of children and young adults, usually located intraventricularly. It is the most common ependymal neoplasm. It often causes clinical symptoms by blocking cerebrospinal fluid pathways. Key histological features include perivascular pseudorosettes and ependymal rosettes. (WHO);Undetermined;
C7642;Epipodophyllotoxin-Related Myelodysplastic Syndrome;Epipodophyllotoxin Related Myelodysplastic Syndrome;A disorder seen following cancer chemotherapy. It typically manifests a few years after initiation of epipodophyllotoxin chemotherapy. Mutagenic potential of these non-intercalating DNA topoisomerase II inhibitors is believed to be increased with concurrent use of asparaginase or granulocyte colony-stimulating factor. Balanced translocations involving chromosomal bands 11q23 and 21q22 are commonly associated with this disorder. Clinical signs may include fatigue, dyspnea, bruising and frequent infections. Clinical course usually progresses to acute myeloid leukemia though most epipodophyllotoxin-related leukemias do not have an antecedent myelodysplastic phase. Prognosis is dismal with survivability usually less than one year.;Malignant;
